rating,version,text
5,2.0.0,Ottima app, funziona benissimo. Interfaccia pulita.
4,2.0.0,Buona app nel complesso, qualche piccolo bug ma niente di grave.
4,2.0.0,Uso questa app ogni giorno, molto soddisfatto.
3,2.0.0,Discreta, ma potrebbe migliorare la velocità.
5,2.0.0,Perfetta per le mie esigenze. Consigliatissima.
4,2.0.0,Funziona bene, mi aspettavo qualcosa di più dalla UX.
3,2.0.0,Nella media. Niente di speciale.
2,2.0.0,Qualche crash occasionale, speravo meglio.
5,2.0.0,Fantastica! Aggiornamento continuo, team reattivo.
4,2.0.0,Soddisfatto, piccoli miglioramenti possibili.
5,2.0.5,Ottimo aggiornamento! I bug precedenti sono stati risolti.
5,2.0.5,Finalmente un'app che fa quello che dice. Interfaccia pulita e veloce.
4,2.0.5,Migliorata molto rispetto alla versione precedente.
5,2.0.5,Uso questa app ogni giorno per lavoro. Non ho mai avuto problemi.
4,2.0.5,Buona app nel complesso. Aggiungete la possibilità di esportare in PDF e sarà perfetta.
5,2.0.5,Semplicemente fantastica. Aggiornamenti costanti e supporto reattivo.
4,2.0.5,App discreta, ma manca la modalità scura.
3,2.0.5,Le notifiche arrivano in ritardo di ore. A volte non arrivano proprio.
2,2.0.5,Le notifiche push non funzionano su Android.
4,2.0.5,App ben fatta. Piccolo bug: il contatore delle notifiche non si azzera.
5,2.0.5,Interfaccia intuitiva e prestazioni ottime. La migliore della categoria.
4,2.0.5,Ottima, aspetto la dark mode con ansia.
1,2.1.0,L'app crasha ogni volta che provo ad aprire il profilo. Impossibile usarla.
1,2.1.0,Crasha continuamente. Ho perso tutti i dati del mio progetto.
2,2.1.0,Il login con Google non funziona più dall'ultimo aggiornamento.
1,2.1.0,Dopo l'aggiornamento 2.1.0 non riesco più ad accedere. Schermata bianca.
1,2.1.0,Crash immediato all'apertura. Ho già reinstallato tre volte.
2,2.1.0,Il login con Google è rotto. Ho provato su due dispositivi diversi.
1,2.1.0,Aggiornamento disastroso. Prima funzionava benissimo, ora è inutilizzabile.
2,2.1.0,Crash sul profilo utente. Ogni volta che tocco la sezione profilo l'app si chiude.
1,2.1.0,Non si apre più dopo l'ultimo update. Schermata nera e poi crash.
2,2.1.0,Il login social è completamente rotto. Facebook e Google non funzionano.
1,2.1.0,Peggiore aggiornamento di sempre. Crash, bug, lentezza.
3,2.1.0,L'interfaccia è confusionaria. Troppi menu nascosti.
3,2.1.0,Da quando ho aggiornato l'app è lentissima.
2,2.1.0,L'app è diventata molto più lenta dopo il 2.1.0.
4,2.1.1,Finalmente sistemato il crash! Torno a dare 4 stelle.
5,2.1.1,Ottimo fix, l'app funziona di nuovo perfettamente.
4,2.1.1,Il login Google è tornato a funzionare. Grazie!
5,2.1.1,Team reattivo, hanno fixato tutto in pochi giorni. Rispetto.
4,2.1.1,La dark mode è bellissima, finalmente.
5,2.1.1,Tutto risolto e anche più veloce di prima. 5 stelle meritate.
3,2.1.1,Meglio della 2.1.0 ma ancora qualche lentezza.
4,2.1.1,Buon recovery dopo il disastro della 2.1.0.
5,2.1.1,Esportazione PDF funziona alla grande, era quello che mancava.
4,2.1.1,Molto meglio ora. Qualche piccolo bug ancora ma niente di grave.
