rating,version,text
1,2.1.0,L'app crasha ogni volta che provo ad aprire il profilo. Impossibile usarla. Disinstallata.
2,2.1.0,Il login con Google non funziona più dall'ultimo aggiornamento. Devo sempre fare il reset della password.
1,2.1.0,Crasha continuamente. Ho perso tutti i dati del mio progetto. Pessima gestione degli errori.
2,2.0.5,Le notifiche arrivano in ritardo di ore. A volte non arrivano proprio. Completamente inutile per uso professionale.
1,2.1.0,Dopo l'aggiornamento 2.1.0 non riesco più ad accedere. Schermata bianca all'avvio.
3,2.0.5,L'app è lenta, soprattutto nella schermata principale. Ci vogliono 5-6 secondi per caricare. Migliorabile.
2,2.1.0,Il login con Google è rotto. Ho provato su due dispositivi diversi, stesso problema.
1,2.1.0,Crash immediato all'apertura. Ho già reinstallato tre volte. Non funziona.
4,2.0.5,App discreta, ma manca la modalità scura. Per favore aggiungetela, lavoro spesso di sera.
5,2.0.5,Finalmente un'app che fa quello che dice. Interfaccia pulita e veloce. Ottimo lavoro!
3,2.1.0,L'interfaccia è confusionaria. Troppi menu nascosti. Serve una revisione della UX.
2,2.0.5,Le notifiche push non funzionano su Android. Ho controllato le impostazioni, tutto ok, ma non arrivano.
5,2.0.5,Uso questa app ogni giorno per lavoro. Non ho mai avuto problemi. Consigliatissima.
1,2.1.0,Aggiornamento disastroso. Prima funzionava benissimo, ora è inutilizzabile. Rollback subito.
4,2.0.5,Buona app nel complesso. Aggiungete la possibilità di esportare in PDF e sarà perfetta.
3,2.1.0,Da quando ho aggiornato l'app è lentissima. Il feed impiega un'eternità a caricare.
2,2.1.0,Crash sul profilo utente. Ogni volta che tocco la sezione profilo l'app si chiude.
5,2.0.5,Semplicemente fantastica. Aggiornamenti costanti e supporto reattivo. 5 stelle meritate.
1,2.1.0,Non si apre più dopo l'ultimo update. Schermata nera e poi crash. iPhone 14.
3,2.0.5,Manca il filtro per data nelle ricerche. Funzionalità base che dovrebbe esserci.
2,2.1.0,Il login social è completamente rotto. Facebook e Google non funzionano.
4,2.0.5,App ben fatta. Piccolo bug: il contatore delle notifiche non si azzera dopo aver letto i messaggi.
1,2.1.0,Peggiore aggiornamento di sempre. Crash, bug, lentezza. Come avete fatto a rilasciare questa roba?
5,2.0.5,Interfaccia intuitiva e prestazioni ottime. La migliore app della categoria.
3,2.1.0,L'app è diventata molto più lenta dopo il 2.1.0. Sembra che consumi molta più batteria.
